company_id,name
4,AVON
338,Glover's
11,OPI
11,ABSOLUTE
11,ABSOLUTE FX
181,GOJO�
27,CHANEL
31,Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion
33,Entity One UV Gel
33,Entity Nail Enamel
33,Entity Nail Sculpting Powder
33,Entity Nail Top Coat
23,Almay
31,Aloe Up Lil' Kids SPF 30+ Sunscreen Stick
31,Aloe Up SPF 30 Sunscreen Stick
43,Dermalogica
22,CLARINS PARIS
23,Revlon
46,Light Elegance
841,Philosophy
55,PCA Skin
67,YSL
67,Maybelline
4,ANEW
4,MARK
69,Elizabeth Arden
71,Kandesn
71,Oi-Lin
72,2 Cruel
72,St. John
76,Micro-Colors
76,Aqua
76,Elegance Pigments
76,Image Pigments
76,Double Max
76,Triple Max
76,Velvet
76,Double Concentrate
76,Triple Concentrate
43,Dermalogica - Clean Start
43,Dermalogica - ChromaWhite
70,Tahitian Noni� Tahiti Trim� Plan 40�
82,NSI
77,The Body Shop
86,Zest
86,Olay
84,BUXOM
84,bareMinerals
89,Designline
18,Bliss
91,Merle Norman Cosmetics
96,"Zotos Intl, Inc."
84,bareVitamins
84,RareMinerals
84,bareEscentuals
84,MD Formulations
86,DDF
71,Dr Chen
71,Kandesn Spa
71,SunSmile
1093,Ion
21,Bed Head
101,Roux
110,Nail Tek
110,Nail Optimizer
110,OPI
110,CND
110,Color Club
110,Sation
110,QT
110,Lexi
110,Beyond
110,Regal
110,Sheila
110,5000
110,Lila
91,Merle Norman
91,Merle Norman Cosmetics 
91,Merle Norman 
116,Costcutters
116,MasterCuts
21,S-Factor
21,Rockaholic
119,No Lift Nails
125,Exuviance
125,Coverblend by Exuviance
11,TRADITIONAL ACRYLIC SYSTEM POWDERS
11,TRADITIONAL ACRYLIC SYSTEM POWDER
11,AVOJUICE SKIN QUENCHERS
11,axxium
128,BC Color Mineral Collection
11,axxium Soak-Off
11,Axxium Soak-Off
11,Nail Envy
11,Avojuice
11,AVOJUICE
11,Clarite
11,Microbond
11,Feet by OPI
11,Competition
11,OPI Nail Lacquer
138,Klein-Becker USA
1093,Sally Girl
1093,Fingerpaints
141,Astara Skin Care
142,Voss Laboratories
144,SISLEY - PARIS
97,Whiter Image
145,Bremenn Research Labs
129,NOEVIR
59,Young Nails
18,Laboratoire Remede
149,Eucerin
125,NeoStrata
118,Topps
118,Hello Kitty
118,Dead Sea
118,Aquafina
118,Urban Outfitters
118,Cutie Boutique
118,Popsicle
118,It's Happy Bunny
118,Skin Vitamins
118,Bratz
118,"Hello Kitty, Bratz, Strawberry Shortcake, Bakugan,"
