id,chemical_name,cas_id,cas_number,created_at,updated_at,date_removed
6,Titanium dioxide,656,13463-67-7,2009-07-09,2009-07-09,
4,Distillates (coal tar),889,65996-92-1,2009-07-01,2009-07-01,
5,Estragole,293,140-67-0,2009-07-02,2009-07-02,
7,Titanium dioxide,656,13463-67-7,2009-07-09,2009-07-09,
8,Titanium dioxide,656,13463-67-7,2009-07-09,2009-07-09,
9,Titanium dioxide,656,13463-67-7,2009-07-09,2009-07-09,
12178,Titanium dioxide,656,13463-67-7,2009-12-04,2009-12-04,
17903,Titanium dioxide,656,13463-67-7,2010-06-09,2010-06-09,
17909,Titanium dioxide,656,13463-67-7,2010-06-09,2010-06-09,
17911,Titanium dioxide,656,13463-67-7,2010-06-09,2010-06-09,
17917,Titanium dioxide,656,13463-67-7,2010-06-09,2010-06-09,
17918,Titanium dioxide,656,13463-67-7,2010-06-09,2010-06-09,
17960,Titanium dioxide,656,13463-67-7,2010-06-09,2010-06-09,
17961,Titanium dioxide,656,13463-67-7,2010-06-09,2010-06-09,
17963,Titanium dioxide,656,13463-67-7,2010-06-09,2010-06-09,
17964,Titanium dioxide,656,13463-67-7,2010-06-09,2010-06-09,
24,Titanium dioxide,656,13463-67-7,2009-07-20,2009-07-20,
26,Cocamide diethanolamine,162,68603-42-9,2009-07-23,2012-02-07,2010-12-30
27,Titanium dioxide,656,13463-67-7,2009-08-10,2009-08-10,
28,Titanium dioxide,656,13463-67-7,2009-08-10,2009-08-10,
39,Titanium dioxide,656,13463-67-7,2009-08-21,2009-08-21,2009-08-21
41,Titanium dioxide,656,13463-67-7,2009-08-21,2009-08-21,
29,Titanium dioxide,656,13463-67-7,2009-08-16,2009-08-16,
30,Titanium dioxide,656,13463-67-7,2009-08-16,2009-08-16,
31,Titanium dioxide,656,13463-67-7,2009-08-16,2009-08-16,
32,Titanium dioxide,656,13463-67-7,2009-08-16,2009-08-16,
33,Titanium dioxide,656,13463-67-7,2009-08-16,2009-08-16,
34,Titanium dioxide,656,13463-67-7,2009-08-16,2009-08-16,
35,Titanium dioxide,656,13463-67-7,2009-08-16,2009-08-16,
36,Toluene,658,108-88-3,2009-08-16,2009-08-16,
37,Titanium dioxide,656,13463-67-7,2009-08-18,2009-08-18,
40,Titanium dioxide,656,13463-67-7,2009-08-21,2009-08-21,
42,Titanium dioxide,656,13463-67-7,2009-08-21,2009-08-21,
43,Cocamide diethanolamine,162,,2009-08-21,2009-08-21,
581,Titanium dioxide,656,13463-67-7,2009-09-08,2009-09-08,
44,Titanium dioxide,656,13463-67-7,2009-08-24,2009-08-24,
45,Titanium dioxide,656,13463-67-7,2009-08-24,2009-08-24,
46,Titanium dioxide,656,13463-67-7,2009-08-24,2009-08-24,
47,Titanium dioxide,656,13463-67-7,2009-08-24,2009-08-24,
50,Titanium dioxide,656,13463-67-7,2009-08-24,2009-08-24,
48,Titanium dioxide,656,13463-67-7,2009-08-24,2009-08-24,
51,Titanium dioxide,656,13463-67-7,2009-08-24,2009-08-24,
49,Titanium dioxide,656,13463-67-7,2009-08-24,2009-08-24,
52,Chromium (hexavalent compounds),730,,2009-08-24,2009-08-24,
53,Titanium dioxide,656,13463-67-7,2009-08-25,2009-08-25,
54,Titanium dioxide,656,13463-67-7,2009-08-25,2009-08-25,
55,Titanium dioxide,656,13463-67-7,2009-08-25,2009-08-25,
56,Titanium dioxide,656,13463-67-7,2009-08-25,2009-08-25,
57,Titanium dioxide,656,13463-67-7,2009-08-25,2009-08-25,
58,Titanium dioxide,656,13463-67-7,2009-08-25,2009-08-25,
59,Titanium dioxide,656,13463-67-7,2009-08-25,2009-08-25,
60,Titanium dioxide,656,13463-67-7,2009-08-25,2009-08-25,
61,Titanium dioxide,656,13463-67-7,2009-08-25,2009-08-25,
63,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
64,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
65,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
66,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
67,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
68,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
69,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
70,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
71,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
72,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
73,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
74,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
75,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
76,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
77,Titanium dioxide,656,13463-67-7,2009-08-26,2009-08-26,
78,Titanium dioxide,656,13463-67-7,2009-08-26,2009-09-14,2009-09-14
822,Titanium dioxide,656,13463-67-7,2009-09-14,2009-09-14,
