id,name
4,New Avon LLC
338,J. Strickland & Co.
11,OPI PRODUCTS INC.
181,"GOJO Industries, Inc."
27,"CHANEL, INC"
31,"Aloecare International, LLC"
33,"Entity Beauty, Inc."
23,Revlon Consumer Product Corporation
43,Dermalogica
22,CLARINS S.A.
46,"McConnell Labs, Inc."
841,Philosophy
55,"Physician's Care Alliance, LLC"
67,L'Oreal USA
69,"Elizabeth Arden, Inc."
71,"Sunrider Manufacturing, L.P."
72,Romane Fragrances
76,LI Pigments
70,"Tahitian Noni International, Inc."
82,AMCO International
77,"Buth-na-Bodhaige, Inc"
86,The Procter & Gamble Company
84,"Bare Escentuals Beauty, Inc."
89,Regis Corporation
18,Bliss World LLC
91,Merle Norman Cosmetics
96,"Zotos International, Inc."
1093,Arcadia Beauty Labs LLC
21,TIGI Linea Corp
101,"Colomer U.S.A., Inc."
110,"Alfalfa Nail Supply, Inc."
116,Regis Corporation
119,No Lift Nails Inc.
125,"NeoStrata Company, Inc."
128,"BeautiControl, Inc."
138,"Klein-Becker USA, LLC."
141,Astara Skin Care
142,Voss Laboratories
144,C.F.E.B. SISLEY
97,Whiter Image
145,Bremenn Research Labs
129,"NOEVIR CO., LTD"
59,"Young Nails, Inc."
149,"Beiersdorf, Inc."
118,Added Extras LLC
150,"Giovanni Cosmetics, Inc."
148,BEAUTE PRESTIGE INTERNATIONAL
159,The Procter & Gamble Company
121,Cool Cuts 4 Kids
120,"Farouk Systems, Inc."
99,BR SAS
160,"Signatry, Inc."
60,"Chattem, Inc."
167,Excelon
153,Georgia-Pacific Consumer Products LP
171,Coty
172,Combe Incorporated
30,"NYX Los Angeles, Inc."
259,Primorance
111,Mazunte LLC
164,Palladio Beauty Group
178,Namaste Laboratories
95,"S.C. Johnson & Son, Inc."
417,IBS BEAUTY INC
1232,LEVLAD LLC
186,Hillyard Industries
188,Aloette Cosmetics Inc.
157,Added Extras LLC
191,Benefit Cosmetics
177,"Kiss Products, Inc."
199,Tressa Inc.
954,Johnson & Johnson Consumer Companies
196,Origins Natural Resources Inc.
176,theBalm
