id,product_name,csf_id,csf,company_id,primary_category_id,sub_category_id,brand_name
2,ULTRA COLOR RICH EXTRA PLUMP LIPSTICK-ALL SHADES,,,4,44,53,AVON
3,Glover's Medicated Shampoo,,,338,18,25,Glover's
4,PRECISION GLIMMER EYE LINER-ALL SHADES �,,,4,44,46,AVON
5,AVON BRILLIANT SHINE LIP GLOSS-ALL SHADES �,,,4,44,52,AVON
6,JILLIAN DEMPSEY FOR AVON CELESTIAL EYESHADOW-ALL SHADES �,,,4,44,48,AVON
7,ABSOLUTE Precision Color Powder System - All Shades,310.0,5858-81-1,11,59,60,OPI
8,ABSOLUTE Precision Color Powder System Opaque Pink,313.0,D&C RED 7 CALCIUM LAKE,11,59,60,ABSOLUTE
9,ABSOLUTE Precesion Color Powder System Perfect White,,,11,59,60,ABSOLUTE
10,ABSOLUTE Precision Color Powder System Translucent Pink,314.0,D&C RED 28,11,59,60,ABSOLUTE
12,ABSOLUTE FX Chromatones Precision Color Powders,315.0,D&C RED 22,11,59,60,OPI
13,BlueFX,317.0,ULTRAMARINE BLUE,11,59,60,ABSOLUTE FX
14,GreenFX,320.0,D&C YELLOW 10,11,59,60,ABSOLUTE FX
15,I'm not Really a Waitress,324.0,D&C RED 7 CALCIUM LAKE,11,59,60,ABSOLUTE FX
16,Kyoto Pearl,328.0,MICA,11,59,60,ABSOLUTE FX
17,Radiant RedFX,330.0,D&C RED 6 BARIUM LAKE,11,59,60,ABSOLUTE FX
18,SPECTRA LASH MASCARA �,,,4,44,162,AVON
24,White Premium Lotion Soap,,,181,74,170,GOJO�
26,Professional Eyeshadow Base,337.0,Beige,27,44,48,CHANEL
27,Inimitable Mascara,339.0,Noir Indigo,27,44,162,CHANEL
29,Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion,,,31,106,107,Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion
30,Entity One Nudite Pink UV Gel,,,33,59,168,Entity One UV Gel
31,"Entity One UV gels - white, natural white, clear and pink",,,33,59,168,Entity One UV Gel
32,Entity Enamel Base Coat,,,33,59,61,Entity Nail Enamel
33,Nudite Nail Sculpting Powders (6),,,33,59,60,Entity Nail Sculpting Powder
34,Clear Nail Sculpting Powder,,,33,59,60,Entity Nail Sculpting Powder
35,Natural Nail Sculpting Powder,,,33,59,60,Entity Nail Sculpting Powder
36,White Nail Sculpting Powder,,,33,59,60,Entity Nail Sculpting Powder
37,UV Nail Topcoat,,,33,59,168,Entity Nail Top Coat
38,Pure Blends Natural Lipgloss-Natural,,,23,44,52,Almay
41,Aloe Up Lil' Kids SPF 30+ Sunscreen Stick,,,31,106,107,Aloe Up Lil' Kids SPF 30+ Sunscreen Stick
42,Aloe Up SPF 30 Sunscreen Stick,,,31,106,107,Aloe Up SPF 30 Sunscreen Stick
43,Skin Prep Scrub,,,43,6,166,Dermalogica
44,ECLAT MINUTE EMBELLISSEUR DE TEINT,353.0,00,22,44,50,CLARINS PARIS
45,Enzymatic Sea Mud - professional only,,,43,6,166,Dermalogica
46,Colorstay 12 Hour Eye Shadow Quad- Copper Spice-champagne 99,,,23,44,48,Revlon
47,Gel Polishes,1.0,moonshine,46,59,60,Light Elegance
48,French Tip,,,46,59,60,Light Elegance
49,Natural Tip,,,46,59,60,Light Elegance
50,Perfect White,,,46,59,60,Light Elegance
51,Swedish White,,,46,59,60,Light Elegance
52,Pink,,,46,59,60,Light Elegance
53,Builder,26.0,Pink,46,59,60,Light Elegance
54,Extreme,29.0,Baby Pink,46,59,60,Light Elegance
56,Spicy Pear Cobbler Lip Shine,31.0,Timiron Symwhite 40,841,44,52,Philosophy
57,Colorstay 12 Hour Eye Shadow Quad- peach 98,,,23,44,48,Revlon
58,Colorstay 12 Hour Eye Shadow Quad- copper 97,,,23,44,48,Revlon
59,Colorstay 12 Hour Eye Shadow Quad- bronze 96,,,23,44,48,Revlon
60,Colorstay 12 Hour Eye Shadow Quad- Coffee bean-iced mocha 95,,,23,44,48,Revlon
61,Colorstay 12 Hour Eye Shadow Quad- dark brown 97,,,23,44,48,Revlon
62,Colorstay 12 Hour Eye Shadow Quad- midtone brown 98,,,23,44,48,Revlon
63,Colorstay 12 Hour Eye Shadow Quad- skintone 99,,,23,44,48,Revlon
64,Colorstay 12 Hour Eye Shadow Quad- Neutral khakis-taupe vert 93,,,23,44,48,Revlon
